id,title,status,Fecha de apertura,creatorId,categoryId,description,assignedTechId,priority,source
510,Fallo al imprimir,Cerrado,2026-07-15 09:28,4eec1439-2637-4288-a3d9-83482bb76d59,95717a85-3c2a-409f-9f9e-237db83aed01,todos los asesores de ventas no pueden imprimir sus documentos a la impresora de ventas.,06d62384-793f-4823-ae2e-f933e24fe906,MEDIA,WHATSAPP
417,Fallo al imprimir documentos,Cerrado,2026-06-22 18:23,4eec1439-2637-4288-a3d9-83482bb76d59,95717a85-3c2a-409f-9f9e-237db83aed01,La laptop no detecta la impresora de ventas.,06d62384-793f-4823-ae2e-f933e24fe906,MEDIA,WHATSAPP
573,Corrección de documento para subir en Bóveda,Cerrado,2026-07-30 13:06,4eec1439-2637-4288-a3d9-83482bb76d59,64bf87a9-74df-414c-997e-501faff5b8f9,La orden de pago se subió dos veces y ocupó el espacio de la Lista Negra.,06d62384-793f-4823-ae2e-f933e24fe906,MEDIA,WHATSAPP
554,Actualización de contraseña Dealer Daily,Cerrado,2026-07-27 12:41,4eec1439-2637-4288-a3d9-83482bb76d59,1d314185-1a17-41c7-959b-bcb188a5dba7,Actualizar contraseña Dealer a Vendedor.,06d62384-793f-4823-ae2e-f933e24fe906,MEDIA,WHATSAPP
636,Agregar colonia en Quiter,Cerrado,2026-08-14 14:04,4eec1439-2637-4288-a3d9-83482bb76d59,a494c538-2006-42c8-abb7-99e6892d3042,Agregar colonia solicitada.,06d62384-793f-4823-ae2e-f933e24fe906,MEDIA,WHATSAPP
594,Corrección de datos de cliente en Quiter,Cerrado,2026-08-05 17:26,4eec1439-2637-4288-a3d9-83482bb76d59,a494c538-2006-42c8-abb7-99e6892d3042,Editar información errónea en Quiter.,06d62384-793f-4823-ae2e-f933e24fe906,MEDIA,WHATSAPP
598,Audífonos no se escuchan,Cerrado,2026-08-07 10:16,6dd682e7-079c-4f0e-ae52-b4e347b2c2b6,e8a85678-13b0-4977-b0cb-5255f43ab9c7,"Al realizar llamadas de los clientes los audífonos no se escuchan, pero los clientes si escuchan.",06d62384-793f-4823-ae2e-f933e24fe906,MEDIA,WHATSAPP
464,Agregar correo en impresora,Cerrado,2026-07-01 13:47,8bf235cb-23b0-462a-b3eb-ee4c5eaa15c8,95717a85-3c2a-409f-9f9e-237db83aed01,"Se solicita agregar el correo ""varrieta@toyotaguerrero.com.mx"" en la impresora de ventas en Chilpancingo.",06d62384-793f-4823-ae2e-f933e24fe906,MEDIA,WHATSAPP
557,Problemas con Cotizador,Cerrado,2026-07-27 17:21,8bf235cb-23b0-462a-b3eb-ee4c5eaa15c8,b81e6e79-52ad-4d29-9ff8-ca739cbe2e1c,Al momento de cotizar un auto la pagina tarda o no genera los precios de la unidad seleccionada.,06d62384-793f-4823-ae2e-f933e24fe906,MEDIA,WHATSAPP
643,Actualizar documentos en pedido,Cerrado,2026-08-18 09:48,8bf235cb-23b0-462a-b3eb-ee4c5eaa15c8,64bf87a9-74df-414c-997e-501faff5b8f9,"Los datos del cliente en Bóveda no pueden visualizarse, ya que se realizó el cambio de Control Guerrero a Control Chilpancingo, lo que ocasiona que los archivos no se hayan cargado correctamente.",06d62384-793f-4823-ae2e-f933e24fe906,MEDIA,WHATSAPP
586,Actualización de contraseña Dealer Daily,Cerrado,2026-08-04 12:00,8bf235cb-23b0-462a-b3eb-ee4c5eaa15c8,1d314185-1a17-41c7-959b-bcb188a5dba7,Requiere actualizar la contraseña de Dealer Daily para acceder a su perfil.,06d62384-793f-4823-ae2e-f933e24fe906,MEDIA,WHATSAPP
664,No se puede poner la agencia 4 al abrir una oferta,Cerrado,2026-08-21 12:00,8bf235cb-23b0-462a-b3eb-ee4c5eaa15c8,a494c538-2006-42c8-abb7-99e6892d3042,agregar permisos para la agencia 4,06d62384-793f-4823-ae2e-f933e24fe906,MEDIA,WHATSAPP
